sgRNA,Cell_line,Replicate,Timepoint,gene,Treatment,diff,type,TP,FP,AUC
sgCDK7_2,Hbe,R2,T6,CDK7,No,-2.022155920462,+,0.0646258503401361,0,0.959497557412227
sgEXOSC7_4,Hbe,R1,T5,EXOSC7,No,-2.01993373303951,+,0.0153061224489796,0,0.948229123864311
sgPCNA_1,Susa,R1,T5,PCNA,No,-2.01989858088345,+,0.00680272108843537,0,0.94936481303931
sgTRMT112_1,Hbe,R2,T6,TRMT112,No,-2.01984124102053,+,0.0663265306122449,0,0.959497557412227
sgPSMB3_2,Susa,R1,T3,PSMB3,No,-2.0192666734935,+,0.00510204081632653,0,0.877981897456969
sgPOLR3H_5,Hbe,R2,T6,POLR3H,No,-2.01679816048417,+,0.0680272108843537,0,0.959497557412227
sgXPO1_3,Hbe,R2,T4,XPO1,No,-2.01671297540365,+,0.0272108843537415,0,0.946659704150116
sgPSMB3_5,Hbe,R1,T5,PSMB3,No,-2.01656473671453,+,0.0170068027210884,0,0.948229123864311
sgTRAPPC3_2,Hbe,R2,T6,TRAPPC3,No,-2.01597855880085,+,0.0697278911564626,0,0.959497557412227
sgNVL_2,Hbe,R2,T5,NVL,No,-2.01532323229202,+,0.0187074829931973,0,0.954238574624481
sgIARS2_6,Susa,R2,T5,IARS2,No,-2.01505689744921,+,0.00340136054421769,0,0.881129297356526
sgNSF_3,Hbe,R1,T4,NSF,No,-2.01340090002031,+,0.0136054421768707,0.00167785234899329,0.955950668858147
sgRFC5_5,Hbe,R2,T6,RFC5,No,-2.0105146291885,+,0.0714285714285714,0,0.959497557412227
sgATP6V0C_3,Hbe,R1,T6,ATP6V0C,No,-2.0102258301756,+,0.022108843537415,0.00167785234899329,0.940955576861617
sgTRAPPC1_3,Susa,R1,T6,TRAPPC1,No,-2.00831272808501,+,0.0170068027210884,0,0.935257156553897
sgWDR74_4,Hbe,R2,T6,WDR74,No,-2.00712351629217,+,0.0731292517006803,0,0.959497557412227
sgUTP23_6,Hbe,R1,T5,UTP23,No,-2.00657908564464,+,0.0187074829931973,0,0.948229123864311
sgATP6V0C_4,Hbe,R1,T4,ATP6V0C,No,-2.00637515761618,+,0.0153061224489796,0.00167785234899329,0.955950668858147
sgCDC16_4,Susa,R1,T4,CDC16,No,-2.00614629495718,+,0.00170068027210884,0,0.941529128429895
sgUTP23_5,Susa,R1,T6,UTP23,No,-2.00520280906221,+,0.0187074829931973,0,0.935257156553897
sgCTDP1_2,Hbe,R2,T4,CTDP1,No,-2.00438025146729,+,0.0289115646258503,0,0.946659704150116
sgUSP39_3,Hbe,R1,T5,USP39,No,-2.00341036830108,+,0.0204081632653061,0,0.948229123864311
sgIMP4_2,Hbe,R2,T6,IMP4,No,-2.00316516096676,+,0.0748299319727891,0,0.959497557412227
sgZPR1_2,Hbe,R2,T4,ZPR1,No,-2.00315237874412,+,0.0306122448979592,0,0.946659704150116
